ticker
XMRUSDT
XLMUSDT
VETUSDT
FILUSDT
EOSUSDT
XTZUSDT
AAVEUSDT
THETAUSDT
MKRUSDT
ALGOUSDT
DASHUSDT
ZECUSDT
COMPUSDT
KSMUSDT
WAVESUSDT
DCRUSDT
XEMUSDT
SNXUSDT
ENJUSDT
CHZUSDT
ZILUSDT
ZRXUSDT
BATUSDT
ICXUSDT
ONTUSDT
SCUSDT
RVNUSDT
NANOUSDT
RENUSDT
SNTUSDT
CVCUSDT
STORJUSDT
DENTUSDT
FETUSDT
OCEANUSDT
BANDUSDT
NMRUSDT
ANTUSDT
LRCUSDT
BALUSDT
UMAUSDT
KAVAUSDT
OGNUSDT
SRMUSDT
DODOUSDT
CELRUSDT
ANKRUSDT
POWRUSDT
ARKUSDT
SYSUSDT
STRAXUSDT
XVGUSDT
ZENUSDT
KMDUSDT
GASUSDT
NKNUSDT
BLZUSDT
UTKUSDT
TOMOUSDT
LSKUSDT
GLMUSDT
REPUSDT
FUNUSDT
WANUSDT
RLCUSDT
